n,p,q,degree,noise_sigma,itr,u_error,v_error,corr_error,freq_error,method
1000,100,100,5,0.5,1,0.0346005533249663,0.0317698139891941,0.00018801303009891,0.0144063581744993,GCCAprior1
1000,100,100,5,0.5,2,0.034235871845377,0.0362744204162039,0.00957469960702312,0.00375817379102837,GCCAprior1
1000,100,100,5,0.5,3,0.171821374993166,0.0870731881900059,0.0433538957946901,0.421309900240199,GCCAprior1
1000,100,100,5,0.5,4,0.0687490361412801,0.0553695826968408,0.0161509140068689,0.00789999186196382,GCCAprior1
1000,100,100,5,0.5,5,0.161341359840682,0.0878321631519462,-0.0200122701156672,0.0272463032131985,GCCAprior1
1000,100,100,5,0.5,6,0.0191041924710735,0.0133174827939004,-0.00406386219783911,0.0140820921655688,GCCAprior1
1000,100,100,5,0.5,7,0.172405641701018,0.117175081161057,0.0187429700389349,0.146052721976313,GCCAprior1
1000,100,100,5,0.5,8,0.18384728915135,0.0122767199304448,0.0438378240895356,0.212097261590958,GCCAprior1
1000,100,100,5,0.5,9,0.0328135232180853,0.0794902269506068,0.0214961308779818,0.031825433277371,GCCAprior1
1000,100,100,5,0.5,10,0.137421234615068,0.0566605623076664,0.0200000789931676,0.0414264544230978,GCCAprior1
1000,100,100,5,0.5,11,0.0611234986066812,0.102819475539592,0.0289497259630295,0.141654667957576,GCCAprior1
1000,100,100,5,0.5,12,0.243838438934381,0.0741419628445732,0.0170787245177028,0.430424455453387,GCCAprior1
1000,100,100,5,0.5,13,0.0807185046333524,0.0748313259048657,0.0248225313598708,0.170868370269363,GCCAprior1
1000,100,100,5,0.5,14,0.264872593229409,0.115074754737099,-0.00168240543698434,0.257763130551091,GCCAprior1
1000,100,100,5,0.5,15,0.284685943444993,0.221305960644192,0.0870123563647897,0.151346664070658,GCCAprior1
1000,100,100,5,0.5,16,0.173280676458723,0.103934623932996,0.029183534007804,0.43576124874477,GCCAprior1
1000,100,100,5,0.5,17,0.0425859198319162,0.0445730813957715,0.00371568064324618,0.0260154373971632,GCCAprior1
1000,100,100,5,0.5,18,0.15069949867135,0.0663122862924912,0.0212393941507276,0.207852534491837,GCCAprior1
1000,100,100,5,0.5,19,0.201248984535215,0.0997224784929428,-0.00340896197485591,0.177125519162915,GCCAprior1
