n,p,q,degree,noise_sigma,itr,u_error,v_error,corr_error,freq_error,method
1000,100,100,5,0.5,1,0.0887347499664265,0.764660637834179,0.0502335648193249,0.392399559380591,SCCA
1000,100,100,5,0.5,2,0.0779444073972861,0.0170680404766094,0.0618112354254596,0.521975656300891,SCCA
1000,100,100,5,0.5,3,0.070018202244131,0.0107717253872057,0.029708977145154,0.696340760032668,SCCA
1000,100,100,5,0.5,4,0.296710979110853,0.014871129049414,0.0300667899416182,0.753584755199699,SCCA
1000,100,100,5,0.5,5,0.0671703313789532,0.0820240612821979,0.00724408902384138,0.55816659718199,SCCA
1000,100,100,5,0.5,6,0.0898327116577745,0.764660637834179,0.0391409391683127,0.975219562944276,SCCA
1000,100,100,5,0.5,7,0.0340804041136265,0.0224065428034033,0.0146470178118326,0.0911553138348508,SCCA
1000,100,100,5,0.5,8,0.0669813443123781,0.017016070619442,0.0244249015885015,0.384012908740537,SCCA
1000,100,100,5,0.5,9,0.084564041297577,0.0875564803831193,0.0394356238088268,0.334729746083071,SCCA
1000,100,100,5,0.5,10,0.0726244120151195,0.764660637834179,0.0249547191888926,0.21388738348163,SCCA
1000,100,100,5,0.5,11,0.127859778890572,0.0140508471778444,0.0204854826850711,0.157768551045605,SCCA
1000,100,100,5,0.5,12,0.96243473418035,1,0.437428569453415,4.00343658626825,SCCA
1000,100,100,5,0.5,13,0.164924013686287,0.0165019297370542,0.0352068881259603,0.268174488988539,SCCA
1000,100,100,5,0.5,14,0.0975534493001461,0.764660637834179,0.0219296847088904,0.425426719319632,SCCA
1000,100,100,5,0.5,15,0.195572218830239,0.764660637834179,0.0754291999779699,0.301719866869328,SCCA
1000,100,100,5,0.5,16,0.0943579087614688,0.0834673387937422,0.00482094353419626,0.633142625251834,SCCA
1000,100,100,5,0.5,17,0.102004060561724,0.0130660449202951,0.0379383574544906,0.635810526787084,SCCA
1000,100,100,5,0.5,18,0.167552194441178,0.0814104648467155,0.00648610514421599,0.472368728660618,SCCA
1000,100,100,5,0.5,19,0.195329522821496,0.0769618479045632,0.00972953787801745,0.453944747259413,SCCA
1000,100,100,5,0.5,20,0.186630614483362,0.255791592464749,0.0858122195913185,0.473816994254759,SCCA
1000,100,100,5,0.5,21,0.10084716520385,0.0214721748785662,0.0415313081963256,0.692940805362047,SCCA
1000,100,100,5,0.5,22,0.126925170811438,0.00616713139689307,0.0249180573443238,0.244037175981454,SCCA
1000,100,100,5,0.5,23,0.106065321873981,0.255791592464749,-0.00466698694476514,0.914743132901563,SCCA
1000,100,100,5,0.5,24,0.621414473670786,1,0.395445482418689,3.44154796483945,SCCA
1000,100,100,5,0.5,25,0.0652462825001869,0.0109923939743201,0.00741706531267489,0.673324153142543,SCCA
1000,100,100,5,0.75,1,0.866218123105249,0.751930530821583,0.175665076816622,2.69732974202403,SCCA
1000,100,100,5,0.75,2,0.931458126825933,0.614340693205026,0.124784876602188,5.35101704486691,SCCA
1000,100,100,5,0.75,3,0.265421879302026,0.0984563332404038,0.0692860815256414,2.28850238170653,SCCA
1000,100,100,5,0.75,4,0.780009351218592,1,0.233043094254887,4.72584782980177,SCCA
1000,100,100,5,0.75,5,0.084268185677579,0.153103678002619,0.0116062605314032,0.509902067459171,SCCA
1000,100,100,5,0.75,6,0.947054091741603,1,0.212021094566919,3.54209166076048,SCCA
1000,100,100,5,0.75,7,0.998568259520064,0.821086927575147,0.279541564403736,8.41507848343025,SCCA
1000,100,100,5,0.75,8,0.266764118540975,0.0818636610515804,0.0228303627000455,2.0821625418452,SCCA
1000,100,100,5,0.75,9,0.416031104820971,0.255791592464749,0.0509681493913862,3.38450344052069,SCCA
1000,100,100,5,0.75,10,0.468677454964101,0.0767658628780308,0.0100421855034009,0.551392582415654,SCCA
1000,100,100,5,0.75,11,0.695624870793233,0.627895796232375,0.288519500669652,3.5904827791152,SCCA
1000,100,100,5,0.75,12,0.244992544053755,0.764660637834179,0.0472225880699047,0.209379576717659,SCCA
1000,100,100,5,0.75,13,0.126665559869018,0.0766077657075868,0.015653735180958,1.8478157051239,SCCA
1000,100,100,5,0.75,14,0.905197995167616,1,0.271818939120295,3.19632361842012,SCCA
1000,100,100,5,0.75,15,0.803326118716756,1,0.293046318657695,5.23464962067148,SCCA
1000,100,100,5,0.75,16,0.997626284683814,1,0.207835467117519,4.41210956712927,SCCA
1000,100,100,5,0.75,17,0.246763875559164,0.100755260546682,0.0008671034378816,2.25800576768822,SCCA
1000,100,100,5,0.75,18,0.988664710670263,0.16274659520954,0.315054968854468,10.9775125880572,SCCA
1000,100,100,5,0.75,19,0.791013735659952,1,0.176873074680785,3.23075381108574,SCCA
1000,100,100,5,0.75,20,0.783302052610867,1,0.303490737964867,3.98732655155306,SCCA
1000,100,100,5,0.75,21,0.237142121363204,0.0504184066710841,0.0785194719117608,1.69688419919174,SCCA
1000,100,100,5,0.75,22,0.913505046753682,1,0.17674240025001,2.17429434888709,SCCA
1000,100,100,5,0.75,23,0.63991699252017,0.139310069462539,0.101084950222811,1.386955695393,SCCA
1000,100,100,5,0.75,24,0.433387230849424,0.102135512978441,0.0592832374272281,3.85899566424411,SCCA
1000,100,100,5,0.75,25,0.95764798663788,1,0.285541638423663,3.53515599011218,SCCA
1000,100,100,10,0.5,1,0.100136434325168,0.0800518412086427,0.0450392064232648,0.277549613241326,SCCA
1000,100,100,10,0.5,2,0.0827977853125201,0.344287378748529,0.0928593383278209,0.416475484085976,SCCA
1000,100,100,10,0.5,3,0.489413018963371,0.00944424993280035,0.142815203575514,0.641703990548862,SCCA
1000,100,100,10,0.5,4,0.0937179773667772,0.00932072690178987,0.0257461248597265,0.589452746310901,SCCA
1000,100,100,10,0.5,5,0.095000797073461,0.0289988624570466,0.0195548067967062,0.643366974509039,SCCA
1000,100,100,10,0.5,6,0.0810282855531933,0.0766743567244539,0.0202842610425839,0.560257678468449,SCCA
1000,100,100,10,0.5,7,0.0874942327659263,0.0798386865126861,-0.0111178190705868,0.38682286847861,SCCA
1000,100,100,10,0.5,8,0.0852157626980961,0.0174667219752818,0.023206506316751,0.421904416656122,SCCA
1000,100,100,10,0.5,9,0.218409433193714,0.0754785817604473,0.0819347180250981,0.264141163399365,SCCA
1000,100,100,10,0.5,10,0.102687665477574,0.0771081767506878,0.0136908253094961,0.687095869452881,SCCA
