n,p,q,degree,noise_sigma,itr,u_error,v_error,corr_error,freq_error,method
1000,100,100,5,0.5,1,0.193450556303724,0.0580637243814198,0.0420005076095293,0.589362980062357,GCCAno-prior
1000,100,100,5,0.5,2,0.161230463181012,0.0202488174650909,0.0208371120563033,0.625733246172559,GCCAno-prior
1000,100,100,5,0.5,3,0.273652074171172,0.112801570865222,0.069200404215679,1.95077838904155,GCCAno-prior
1000,100,100,5,0.5,4,0.350971089614948,0.0145251828683695,0.063493946532874,0.726795704411895,GCCAno-prior
1000,100,100,5,0.5,5,0.0722020360167003,0.0137438329636068,0.00864378055511994,0.453023191762579,GCCAno-prior
1000,100,100,5,0.5,6,0.10564547762173,0.161688091809489,0.0319099809635589,0.661700972369705,GCCAno-prior
1000,100,100,5,0.5,7,0.217591435642157,0.0997496091371981,0.0277464911454706,0.114067682267726,GCCAno-prior
1000,100,100,5,0.5,8,0.432010467521594,0.0867221269219831,0.0860711946106169,2.64376263724111,GCCAno-prior
1000,100,100,5,0.5,9,0.289246979481816,0.10537182921946,0.0601641117327576,2.13503440261407,GCCAno-prior
1000,100,100,5,0.5,10,0.106637348116171,0.0431775568105129,-0.00445092743883369,0.32855820221037,GCCAno-prior
1000,100,100,5,0.5,11,0.0684324153320948,0.0524933732111871,0.0352236834581717,0.162895790793786,GCCAno-prior
1000,100,100,5,0.5,12,0.285776921402461,0.0988433829801875,0.0608225639651386,0.0438890904678275,GCCAno-prior
1000,100,100,5,0.5,13,0.229175565296962,0.0202029935535905,0.0440624718146818,0.181690368109441,GCCAno-prior
1000,100,100,5,0.5,14,0.265921461990358,0.190763750024418,0.0271768749877053,0.629534759517476,GCCAno-prior
1000,100,100,5,0.5,15,0.281511218891659,0.143760668165541,0.0706073317407876,0.111426266559842,GCCAno-prior
1000,100,100,5,0.5,16,0.220629401233512,0.193472073955561,0.0454158442968011,0.574045362743936,GCCAno-prior
1000,100,100,5,0.5,17,0.463577685390895,0.061743367549159,0.0666679327130058,2.36899503415364,GCCAno-prior
1000,100,100,5,0.5,18,0.540908879718909,0.119442081667106,0.208229126233531,2.38264775866073,GCCAno-prior
1000,100,100,5,0.5,19,0.192015601442092,0.150823589818297,0.0044139731555824,0.495642050947389,GCCAno-prior
1000,100,100,5,0.5,20,0.186971442877772,0.227464549577404,0.0971463956774805,0.506050305817258,GCCAno-prior
1000,100,100,5,0.5,21,0.122911955897373,0.00224580688493825,0.0257277924306841,1.03004186096846,GCCAno-prior
1000,100,100,5,0.5,22,0.194614293090348,0.007694276244267,0.0385869196916023,0.534288955796306,GCCAno-prior
1000,100,100,5,0.5,23,0.193907491328536,0.13903393462089,0.00104859942569241,0.288932710445135,GCCAno-prior
1000,100,100,5,0.5,24,0.569678672502873,0.0474128744679665,0.151963311753942,2.03056710703023,GCCAno-prior
1000,100,100,5,0.5,25,0.581486072945597,0.110816198221759,0.16286613305521,5.66565824873483,GCCAno-prior
1000,100,100,5,0.75,1,0.303819939185079,0.209481515830293,0.0601473286527067,0.427936780581523,GCCAno-prior
